lemma	translation	rel	p-value
جَمِيع	everyone,all	attr	5.9E-16
إِدَارَة	administration,management,bureau	attr	6.11E-16
اِستِئنَاف	resumption,appeal	attr	6.61E-16
اِسم	name	attr	1.06E-15
تَعزِيز	support,backing,in_support_of	attr	1.32E-15
ظِلّ	patronage,shelter,auspices	attr	1.66E-15
اِنخِفَاض	decrease,reduction	attr	3.63E-15
تَوسِيع	expansion,widening	attr	1.54E-14
تَحسِين	improvement,beautification,ornamentation;improving,making_better	attr	4.33E-14
تَحقِيق	achievement,realization;investigation,verification	attr	9.54E-14
كَافَّة	all	attr	1.23E-13
خَرِيطَة	map,chart	attr	1.92E-13
قِبَل	(_on_the_)_part_of	attr	2.01E-13
تَطبِيق	application	attr	7.83E-13
ضَمَان	guarantee,insurance	attr	2.68E-12
مَسَاء	evening	attr	2.68E-12
إِصدَار	export,issuance	attr	3.01E-12
مَنح	granting,bestowal,awarding	attr	9.35E-12
مَطلَع	beginning,rise	attr	1.57E-11
أَحَد	one,someone	attr	1.66E-11
خِتَام	conclusion	attr	2.41E-11
صَاحِب	friend,companion;owner,originator	attr	2.94E-11
شَأن	matter,affair,concern,regard	attr	3.31E-11
تَزَايُد	increment,gradual_increase	attr	4.35E-11
وِجهَة	point_of_view,angle	attr	7.16E-11
سُوء	offense,bad_/_ill	attr	8.97E-11
اِستِخدَام	usage,using,utilization	attr	1.42E-10
عُقب	consequence,aftermath,heels	attr	3.33E-10
إِطلَاق	firing;release	attr	4.39E-10
فَرض	imposing,levying,duties,suppositions	attr	4.86E-10
مُوَاصَلَة	communication,connection,continuation	attr	4.86E-10
فَشَل	failure	attr	7.85E-10
سَبِيل	way,road	attr	8.15E-10
صُندُوق	box,bin;treasury,fund	attr	1.43E-09
تَفعِيل	scansion,activation	attr	1.98E-09
مُجَرَّد	nothing_but,mere,for_no_reason_except,for_the_sole_reason	attr	2.52E-09
هَيئَة	organization,agency	attr	2.8E-09
إِعلَان	declaration,statement,announcement	attr	3.83E-09
قَائِد	leader,commander	attr	5.19E-09
حَالَة	condition,case,situation	attr	5.69E-09
شِرَاء	purchase,buying,purchasing	attr	6.39E-09
تَوجِيه	directing,guiding,sending;instruction,directive,guidelines	attr	6.96E-09
تَأسِيس	establishment,creation,installation	attr	7.25E-09
تَشجِيع	encouragement,promotion,support	attr	7.28E-09
حُلُول	advent,beginning,start,arrival	attr	8.86E-09
حِمَايَة	protection,protecting	attr	1.07E-08
إِيجَاد	discovery,finding	attr	1.34E-08
مُنتَصَف	middle,halfway	attr	1.67E-08
ظُهر	noon,afternoon	attr	2.01E-08
جَذب	attraction	attr	2.15E-08
عَقد	contract,agreement;holding,concluding,convening	attr	2.91E-08
قِطَاع	sector,section,Strip_(_Gaza_)	attr	3.03E-08
فَتح	opening,beginning,conquests,achievements	attr	3.94E-08
حُدُوث	occurrence,happening	attr	5.57E-08
تَنشِيط	stimulation,encouragement	attr	6.1E-08
غَسِيل	clothes,wash,dirty_linen	attr	8.13E-08
اِحتِمَال	possibility,probability,likelihood,scenario	attr	1.06E-07
بَدء	start,beginning	attr	1.23E-07
مُعظَم	most_of,the_majority_of	attr	1.24E-07
خَارِطَة	map,chart	attr	1.49E-07
مُدِير	director,manager,chief	attr	1.66E-07
اِفتِتَاح	opening,inauguration	attr	1.91E-07
سَحب	withdrawal,pulling_out,remove	attr	1.94E-07
دَعم	support,assistance,endorsement	attr	1.95E-07
دُون	inferior,poor	attr	2.22E-07
مَثَابَة	like,as,virtually,tantamount_to	attr	2.22E-07
إِلغَاء	cancellation,abrogation,repeal	attr	2.54E-07
بَرنَامَج	program	attr	3.48E-07
تَلبِيَة	compliance_with,responding_to	attr	3.71E-07
وِكَالَة	agency	attr	3.79E-07
رَأس	head,top,tip,cape;leader,chief	attr	4.18E-07
نَتِيجَة	result,consequence	attr	5.51E-07
مُنَظَّمَة	organization	attr	5.75E-07
وُقُوع	occurrence,happening	attr	5.96E-07
إِعدَاد	preparation	attr	6.03E-07
مَسأَلَة	issue,affair,matter,question	attr	6.15E-07
شَمَال	north,northern	attr	7.74E-07
وَلِيّ	successor,heir,patron,responsible,guardian	attr	8.07E-07
وَسِيلَة	means,device,instrument	attr	8.19E-07
زَعِيم	leader,head_of_state	attr	1.2E-06
هَيكَلَة	structuring,composing	attr	1.24E-06
هَامِش	margin,periphery,sideline	attr	1.6E-06
كُرَة	globe,sphere,ball	attr	2.32E-06
تَنظِيم	organization,network;organizing,controlling,planning,regulating	attr	2.67E-06
نِظَام	regime,government;system,order,methodology	attr	2.7E-06
وَزِيرَة	minister	attr	2.91E-06
رِئَاسَة	presidency,leadership,chairmanship	attr	3.29E-06
سَدَاد	payment,appropriateness	attr	3.35E-06
صَالِح	advantage,interest	attr	3.35E-06
بِدَايَة	beginning,start	attr	3.4E-06
قَائِمَة	list,index;support,base	attr	3.87E-06
حَرَكَة	movement,activity,organization	attr	4.16E-06
تَبيِيض	bleaching,blanching,white_-_washing	attr	4.82E-06
مُرَاقَبَة	observation,inspection;surveillance,monitoring	attr	4.84E-06
مُمَارَسَة	practice,pursuit,exercise,activities,actions	attr	4.84E-06
إِمكَانِيَّة	possibility,capability	attr	5.03E-06
ضَرب	beating,hitting,striking;strike,attack,bombardment	attr	5.4E-06
اِستِعَادَة	recovery,reclamation	attr	5.49E-06
تَأجِيل	postponement,delay	attr	5.49E-06
دُخُول	entrance,penetration	attr	5.6E-06
مُنَاسَبَة	occasion,opportunity	attr	7.54E-06
تَرَاجُع	retreat,backing_down,retraction	attr	9.21E-06
تَكلِفَة	cost_computation;cost,expense,charge	attr	9.34E-06
اِستِقبَال	reception,welcoming	attr	1.09E-05
ذَات	self,being,essence	attr	1.25E-05
دَفع	pushing,propelling,payment	attr	1.41E-05
عَون	assistance,aid,assistants	attr	1.45E-05
بَذل	spending,donating	attr	1.65E-05
فِرقَة	group,team	attr	1.9E-05
تَحرِير	liberation,liberating,editorship,editing	attr	2.48E-05
نَشر	publication,announcement;spreading,propagation	attr	2.87E-05
مَتن	deck,board,surface	attr	2.99E-05
فُرصَة	opportunity,chance	attr	3.08E-05
بِنَاء	building,constructing;building,structure	attr	3.45E-05
فَرد	individual,unit	attr	3.55E-05
إِبرَام	ratification,conclusion	attr	3.71E-05
تَرك	leaving,omission	attr	3.71E-05
مُعَادَاة	hostility,enemity	attr	3.71E-05
إِعطَاء	giving,donation,offer,concession	attr	4.04E-05
عِدَّة	number,several,numerous,many	attr	4.67E-05
بَقِيَّة	remainder,remnant	attr	4.8E-05
تَجَنُّب	avoidance,avoiding	attr	4.8E-05
تَلَقِّي	receiving,receipt,acquisition	attr	5.17E-05
خَلفِيَّة	background	attr	5.17E-05
حَقّ	truth,right,law	attr	5.58E-05
صَبَاح	morning,in_the_morning	attr	6.77E-05
مُنَاقَشَة	argument,debate	attr	6.77E-05
ذِمَّة	protection,security	attr	7.32E-05
غُسل	washing,ablution	attr	7.32E-05
قَصد	intent,purpose,goal	attr	7.32E-05
قِلَّة	scarcity,lack_of,small_number_or_amount_of	attr	7.32E-05
مُحَارَبَة	struggle_against,combat	attr	7.32E-05
قِيَام	undertaking,carrying_out	attr	8.77E-05
قِطعَة	piece,portion,segment	attr	0.00012
إِتَاحَة	granting,providing	attr	0.00013
تَوحِيد	unification,standardization	attr	0.00013
تَحوِيل	conversion,transfer	attr	0.000131
إِزَالَة	removal,elimination	attr	0.000131
أَهَمِّيَّة	importance,significance	attr	0.00014
تَخفِيف	decrease,reduction,dilution	attr	0.000149
قِيمَة	value,worth,amount,quantity	attr	0.00015
اِتِّفَاقِيَّة	treaty,accord	attr	0.000152
تَهرِيب	smuggling,illicit_trade,contrabandage	attr	0.000157
صُدُور	appearance,issuance	attr	0.00016
وَكَالَة	agency	attr	0.00016
جِهَاز	apparatus,equipment,appliance,system	attr	0.000164
مُوَاجَهَة	encounter,confrontation	attr	0.000183
إِقرَار	ratification,confirmation	attr	0.000194
حُضُور	participants,audience;presence,attendance	attr	0.000203
مَبدَأ	principle,basis	attr	0.000214
تَسلِيم	handing_over,delivery,surrender	attr	0.000243
تَموِيل	financing,funding,backing	attr	0.000273
تَقوِيم	rating,valuation,calendars	attr	0.000285
حَجب	seclusion	attr	0.000285
عَشِيَّة	eve_of,night_before,evening	attr	0.000285
غُرُوب	setting	attr	0.000285
تَدَاوُل	alternation,circulation	attr	0.000301
تَحرِيك	making_move,stimulating,activating	attr	0.000365
إِجلَاء	evacuation,withdrawal	attr	0.00043
إِحلَال	achieving,bringing_about,replacing	attr	0.00043
إِسقَاط	overthrow,shooting_down	attr	0.00043
كَيفِيَّة	manner,mode,way	attr	0.00043
تَثبِيت	substantiation,stabilization	attr	0.000454
حَفل	ceremony,celebration	attr	0.000454
اِستِغلَال	exploitation,utilization	attr	0.000484
اِستِكمَال	conclusion,termination	attr	0.000484
حِدَّة	intensity,violence	attr	0.000484
خُطُورَة	importance,gravity,danger	attr	0.000484
خَلق	creation	attr	0.000484
وَالِدَة	mother,parent	attr	0.000484
تَدَهوُر	deterioration,decline	attr	0.000504
حُرمَة	taboo	attr	0.000504
طَاقِم	crew	attr	0.000507
مُمَثِّل	representative,delegate	attr	0.000525
اِختِيَار	choice,selection,preference	attr	0.000646
نِهَائِيّ	final_(_in_sports_)	attr	0.000646
اِحتِيَاج	need,requirement	attr	0.000675
تَوقِيع	signature;signing	attr	0.000771
وَضع	laying_down,putting,placing;situation,status,conditions	attr	0.000836
مَركَز	center,station;ranking,position	attr	0.000886
مَحَطَّة	station	attr	0.000903
ضَبط	adjusting,regulating,precision	attr	0.000914
كَأس	cup	attr	0.000914
قَنَاة	canal,channel	attr	0.000922
رَسم	drawing,sketch,illustration;fee,tax	attr	0.000931
مَكتَب	bureau,office,department	attr	0.000991
مَصلَحَة	interest,advantage,agency	attr	0.000992
إِذن	permission,authorization	attr	0.000992
طَرح	suggestion,proposal	attr	0.00107
أَوَّل	beginning	attr	0.00111
اِرتِدَاء	wearing,putting_on	attr	0.00111
اِستِحدَاث	origination,creation	attr	0.00111
اِصطِحَاب	accompanying,escort	attr	0.00111
تَدَنِّي	decline,sinking,low,near,close	attr	0.00111
تَضَاعُف	doubling,multiplying	attr	0.00111
تَعظِيم	glorification,veneration	attr	0.00111
حُسن	good,beauty	attr	0.00111
حِفظ	preservation,retention,guarding	attr	0.00111
زَرع	planting_(_seed_),implanting_(_artificial_heart_),laying_(_mine_)	attr	0.00111
شَبَاب	Jeunesse	attr	0.00111
اِستِثنَاء	exception,exclusion	attr	0.0012
جَدوَل	schedule,chart	attr	0.00121
نَقل	transportation,transfer,transmission,relaying	attr	0.00126
إِثَارَة	provocation,agitation	attr	0.00143
تُهمَة	accusation,charge	attr	0.00143
عُضوِيَّة	membership,affiliation,organism	attr	0.00143
هَدَف	goal,objective,intention;target	attr	0.00146
تَدعِيم	support,strengthening	attr	0.00156
تَكثِيف	compression,condensation	attr	0.00156
حَامِلَة	bearer,carrier	attr	0.00156
خَوض	waging,embarking,carrying_out	attr	0.00156
صَاحِبَة	owner,originator	attr	0.00156
قَاع	bottom,floor,depths	attr	0.00156
تَقلِيل	decrease,diminution,reduction	attr	0.00159
شَنّ	waging,launching	attr	0.00159
مَوضِع	place,position	attr	0.00159
إِنهَاء	termination,completion	attr	0.00174
قُبُول	admission,acceptance;reception,approval	attr	0.00174
نَائِب	deputy,delegate,vice_-	attr	0.00193
تَخفِيض	lowering,reduction,decrease	attr	0.00204
حَصِيلَة	result,revenue,proceeds	attr	0.00204
شَيخ	Sheikh;sheikh,chieftain,senators	attr	0.00212
أَدَاء	performance,fulfillment	attr	0.00215
عِيد	feast,holiday,festival	attr	0.00215
رَفض	rejection,refusal	attr	0.00222
حَال	situation,condition,case	attr	0.00262
مُستَوَى	level,standard	attr	0.00262
إِقنَاع	persuasion,convincing	attr	0.00262
تَكوِين	creating,forming	attr	0.00262
تَوزِيع	distribution	attr	0.00262
غِيَاب	absence,disappearance	attr	0.00262
جَنُوب	south	attr	0.00265
تَشغِيل	operation,activation,employment,hiring	attr	0.0027
دَائِرَة	circle,ring,scope,circuit;office,bureau,district	attr	0.00286
مُسَاعِد	assistant,supporter	attr	0.00294
قَانُون	law,statutes,regulations,rules	attr	0.00307
إِحدَاث	effectuation,implementation	attr	0.00332
ظُهُور	appearance,emergence	attr	0.00332
كَفَاءَة	competence,suitability,proficiency,qualification,capability	attr	0.00332
نَصِيب	share,dividend	attr	0.00332
نِصف	half,middle,semi_-	attr	0.00343
جَمع	gathering,collection,joining	attr	0.00381
إِدخَال	insertion,entering,inclusion	attr	0.00411
تَحدِيث	updating,renewing	attr	0.00411
تَقسِيم	partition,division,distribution,proportions,features	attr	0.00411
تَقلِيص	reducing,shrinking,cutbacks,reductions	attr	0.00411
تَولِيد	production,generation	attr	0.00411
هَيكَل	framework,structure,skeleton	attr	0.00411
اِنتِهَاء	finishing,completion,conclusion	attr	0.00433
آيَة	Quranic_verse,miracle,sign,wonder	attr	0.00433
أَتعَاب	inconveniences,labor	attr	0.00433
إِبدَاء	expression,manifestation	attr	0.00433
إِرسَاء	anchorage	attr	0.00433
اِقتِنَاء	purchase,acquisition	attr	0.00433
تَرسِيم	demarcation,delineation	attr	0.00433
تَطوِيق	encirclement,surrounding	attr	0.00433
تَعمِيق	deepening	attr	0.00433
تَوصِيل	connection,contact	attr	0.00433
حَائِز	holder,possessor	attr	0.00433
زَعزَعَة	convulsion,shock,concussion	attr	0.00433
زِمَام	reins	attr	0.00433
صَافِي	net	attr	0.00433
قَعر	bottom,depth	attr	0.00433
مَأدُبَة	banquet,reception,formal_dinner	attr	0.00433
مُتَطَلَّبَات	requirements	attr	0.00433
مِظَلَّة	umbrella	attr	0.00433
مَوجَة	wave	attr	0.00433
وُجُوب	duty,necessity,obligation	attr	0.00433
اِتِّجَاه	direction,course;view,opinion	attr	0.00461
مَقَرّ	center,headquarters,residence	attr	0.00464
حَظر	prohibition,ban	attr	0.00466
مَوعِد	appointment,date,rendezvous	attr	0.00466
أَنصَار	partisans,followers	attr	0.00487
تَجَاهُل	ignoring,disregard,feigned_ignorance	attr	0.00487
مُنَاهَضَة	opposition,resistance	attr	0.00487
سُقُوط	fall,collapse,crash_(_aircraft_)	attr	0.0049
ظَاهِرَة	phenomenon,phenomena	attr	0.0049
جُملَة	sentence,clause,group,whole	attr	0.00506
ضُعف	weakness,impotence	attr	0.00509
إِشرَاك	participation,implication	attr	0.00525
اِندِلَاع	breaking_out	attr	0.00525
تَسرِيع	acceleration	attr	0.00525
تَعطِيل	hindering,interruption,obstruction	attr	0.00525
رَبّ	lord,master	attr	0.00525
مُلَاحَقَة	persecution,pursuit	attr	0.00525
قَضِيَّة	lawsuit,legal_case;problem,issue	attr	0.00586
حِسَاب	calculation,appraisal;invoice,expense,account	attr	0.00595
غَرب	west,West,Occident	attr	0.00652
اِحتِرَام	respect,honoring,out_of_respect_for,in_honor_of	attr	0.0067
مُعَالَجَة	treatment,therapy,processing	attr	0.0067
أُنبُوب	pipe,tube	attr	0.00692
مُرَاجَعَة	review,inspection	attr	0.00692
إِمكَان	possibility,capability	attr	0.00727
نَجَاح	success	attr	0.00821
تَحَمُّل	assumption,bearing,duties	attr	0.00881
شُعبَة	branch,subdivision	attr	0.00896
طَبِيعَة	nature,natural	attr	0.00896
إِجرَاء	conducting,undertaking,carrying_out;process,measure,steps	attr	0.00908
لَجنَة	council,committee,commission	attr	0.00967
تَغطِيَة	coverage,covering	attr	0.00989
سُرعَة	speed,velocity,promptness	attr	0.0111
غُضُون	interim,during	attr	0.0114
إِحيَاء	commemoration,revival	attr	0.0114
تَفَاقُم	aggravation,exacerbation	attr	0.0114
صَنع	manufacture	attr	0.0114
ضَخّ	pumping,injecting	attr	0.0114
فَرضِيَّة	hypothesis,thesis	attr	0.0114
مِلَفّ	file,dossier	attr	0.0115
تَدَفُّق	outpour,effusion,outburst	attr	0.0121
رَصد	observation,survey	attr	0.0121
قُطعَة	plot_of_land,lot	attr	0.0121
تَصفِيَة	clearing,liquidation,elimination_series_(_sports_);settlement	attr	0.0132
تَصنِيع	fabrication,industrialization,processing	attr	0.0132
إِخلَاء	emptying,evacuation	attr	0.0145
إِلحَاق	appending,annexation;causing,inflicting	attr	0.0145
تَجمِيد	freezing	attr	0.0145
تَرشِيد	guidance	attr	0.0145
حَيِّز	scope,domain,sphere	attr	0.0145
خَصخَصَة	privatization	attr	0.0145
عَرقَلَة	obstacle,hurdle	attr	0.0145
نَقِيب	captain,staff_sergeant,first_sergeant;union_leader	attr	0.0145
مَشرُوع	project,enterprise	attr	0.0156
إِرسَال	transmission,broadcast	attr	0.0165
إِغلَاق	locking,closing,barring	attr	0.0165
تَجَاوُز	exceeding,overstepping	attr	0.0165
تَسجِيل	registration,recording,documentation,records,documents	attr	0.0165
مُسَانَدَة	support,aid	attr	0.0165
نَجم	star,constellation	attr	0.0165
إِحكَام	accuracy,precision	attr	0.0169
إِشعَال	igniting,lighting	attr	0.0169
إِكمَال	completion,conclusion,perfection	attr	0.0169
إِنعَاش	revival,resuscitation	attr	0.0169
اِنتِهَاج	pursuit,following	attr	0.0169
اِنعِدَام	absence_of,lack_of	attr	0.0169
بِضع	some,several	attr	0.0169
بُولِيصَة	policy,insurance	attr	0.0169
تَحرِيم	prohibition,ban	attr	0.0169
تَكَافُؤ	equality,equal	attr	0.0169
تَمَيُّز	standing_out,being_distinguished	attr	0.0169
ثُبُوت	constancy,permanence	attr	0.0169
جُثمَان	corpse,body	attr	0.0169
جَوَاز	permit,authorization	attr	0.0169
حَاضِرَة	metropolis,capital_city	attr	0.0169
حَامِض	acid	attr	0.0169
حَوز	boundary,enclosure,surrounding_area,suburb	attr	0.0169
رُفَات	mortal_remains,dead_body	attr	0.0169
سَرَيَان	spread,diffusion,effectiveness	attr	0.0169
طَور	stage,phase,period	attr	0.0169
فَتحَة	opening,porthole	attr	0.0169
فَكّ	disengagement;mandible	attr	0.0169
مَدّ	extension,lengthening,spreading	attr	0.0169
مَسمَع	hearing_distance	attr	0.0169
مِقلَاد	key;rein	attr	0.0169
مُكُوث	residing	attr	0.0169
نَظَرِيَّة	theory	attr	0.0169
هُبُوب	blowing	attr	0.0169
وُصلَة	link,connection	attr	0.0169
أَكَادِيمِيَّة	academy	attr	0.0172
إِبعَاد	deportation,exile,removal	attr	0.0172
إِثبَات	confirmation,verification	attr	0.0172
إِدرَاج	insertion,registration,recording	attr	0.0172
اِستِهدَاف	targeting,aiming_at	attr	0.0172
اِنعِقَاد	convening,holding	attr	0.0172
بَطَلَة	hero,champion,star	attr	0.0172
تَأهِيل	certifying,qualifying,training,habilitating	attr	0.0172
تَهدِئَة	calming,appeasement	attr	0.0172
تَيسِير	facilitation	attr	0.0172
حِسّ	sensation,perception	attr	0.0172
خُطبَة	speech,sermon	attr	0.0172
فَضّ	dispersal,separation;dissolution,rupture	attr	0.0172
كَسب	acquisition,gain,profit	attr	0.0172
مُوَافَقَة	agreement	attr	0.0199
غُرفَة	room,chamber	attr	0.0209
وَكِيل	representative,agent	attr	0.0212
اِعتِرَاض	opposition,resistance,insertion	attr	0.0224
تَجدِيد	renovation,renewal	attr	0.0224
تَمدِيد	extension,prolongation,lengthening	attr	0.0224
غَرَق	drowning,sinking,inundation	attr	0.0224
تَغيِير	change,modification,replacement	attr	0.0247
عَبد	Abd	attr	0.0252
رَغم	in_spite_of,despite	attr	0.027
بِطَاقَة	card,tag,ballot	attr	0.0277
رُكن	foundation,support,corner,fundamentals,general_staff	attr	0.0277
كُلِّيَّة	faculty,college,institute	attr	0.0277
وَجه	face,front;side,aspect	attr	0.0277
إِتمَام	completion,realization	attr	0.0305
إِقَالَة	dismissal,discharge	attr	0.0305
تَبَنِّي	adoption	attr	0.0305
تَسَلُّم	receipt,taking_over	attr	0.0305
ثَبَات	reliability,constancy	attr	0.0305
صَدَارَة	chairmanship,precedence	attr	0.0305
قَطع	breaking_off,interruption	attr	0.0305
نِطَاق	scope,range,extent	attr	0.0319
بَادِرَة	gesture,first_sign	attr	0.0387
تَفَادِي	avoidance,avoiding	attr	0.0387
سَلَامَة	security,safety,integrity	attr	0.0387
غِيَار	exchange,interchange,replacement	attr	0.0387
نَهر	river	attr	0.0387
إِنقَاذ	rescue,salvation,relief	attr	0.0388
رَاتِب	salary,pay,wages	attr	0.0402
اِحتِجَاز	detention,confiscation	attr	0.0412
اِستِعمَال	use,application,handling	attr	0.0412
بُرج	Burj;tower,constellation	attr	0.0412
تَرَدِّي	decline,deterioration	attr	0.0412
تَصنِيف	classification,sorting,compilation	attr	0.0412
تَفرِيغ	emptying,unloading	attr	0.0412
تَكرَار	repetition,reiteration,frequency	attr	0.0412
تَنَامِي	gradual_growth,continual_increase	attr	0.0412
جَعل	making,bringing_about,appointing	attr	0.0412
حِزب	Hizb,Hezb;party,band	attr	0.0423
تَسهِيل	facilitation,assistance	attr	0.0426
مُتَابَعَة	pursuit,continuation	attr	0.0434
مُحَافِظ	governor,mayor	attr	0.0437
مَنصِب	post,position,office	attr	0.0437
حِصَّة	share,portion,quota	attr	0.0458
تَسوِيق	marketing	attr	0.0476
تَعدِيل	adjustment,change,modification,amendment	attr	0.0479
اِنهِيَار	collapse,downfall,breakdown	attr	0.0491
قَيد	restriction,stipulation,strings_attached,hand_-_cuffs	attr	0.0491
مُوجِب	reason,motive	attr	0.0491
اِستِهلَاك	consuming,consumption,discharge,amortization	attr	0.0529
اِنسِحَاب	withdrawal,evacuation,pulling_out	attr	0.0529
نِقَابَة	union,syndicate	attr	0.0529
تَبرِير	justification,pretext	attr	0.0542
صِيَاغَة	drafting,formulation,constructing	attr	0.0542
مِيثَاق	treaty,pact,charter	attr	0.0542
وَصف	characteristic;description,portrayal,characterization	attr	0.0542
اِزدِيَاد	increase,intensification	attr	0.0546
اِستِضَافَة	hosting	attr	0.0546
اِشتِرَاط	condition,proviso,stipulation	attr	0.0546
اِقتِرَاب	approach,approximation	attr	0.0546
تَبسِيط	simplification	attr	0.0546
تَرحِيل	deportation,evacuation,exodus	attr	0.0546
تَصَاعُد	growth,increase,escalation	attr	0.0546
تَضَارُب	conflict,clash	attr	0.0546
تَفَشِّي	spreading,diffusion	attr	0.0546
تَكرِيس	dedication,devotion,consecration;perpetuation,entrenchment,legitimization	attr	0.0546
تَنظِيف	cleaning	attr	0.0546
تَوَافُر	availability,abundance,existence	attr	0.0546
تَوثِيق	documentation,authentication	attr	0.0546
جَدوَلَة	scheduling	attr	0.0546
شَدّ	intensification,strengthening	attr	0.0546
شَمل	members,union,inclusion	attr	0.0546
شُيُوع	spreading,circulation	attr	0.0546
ضَرِيح	tomb,mausoleum	attr	0.0546
ضِعف	double,multiple,doubling,multiplying	attr	0.0546
طَاوِلَة	table	attr	0.0546
عَدَّاد	counter,meter	attr	0.0546
فَاتُورَة	invoice,bill	attr	0.0546
فُول	bean	attr	0.0546
كَاتِدرَائِيَّة	cathedral	attr	0.0546
مُقَايَضَة	barter,exchange	attr	0.0546
اِبن	son,child	attr	0.0571
عُنصُر	element,factor,individuals,members	attr	0.0575
طُول	length,height	attr	0.0594
مُدَّة	period_of_time,interval	attr	0.0654
إِرجَاع	return,attribution,reduction	attr	0.0658
إِلزَام	coercion,compulsion	attr	0.0658
إِيفَاد	deputation,delegation,dispatch	attr	0.0658
اِجتِيَاز	traversing,overcoming	attr	0.0658
اِستِعرَاض	review,parade,inspection	attr	0.0658
اِلتِقَاط	reception,obtaining	attr	0.0658
اِمتِصَاص	absorption,suction	attr	0.0658
اِنتِقَاء	selection	attr	0.0658
اِنفِلَات	evasion,release	attr	0.0658
بَثّ	broadcast,transmission,dissemination	attr	0.0658
بُلُوغ	reaching,attainment	attr	0.0658
تَألِيف	authoring,composing,constituting	attr	0.0658
تَخَطِّي	crossing,exceeding,getting_past,going_beyond	attr	0.0658
تَدشِين	consecration,dedication,inauguration	attr	0.0658
تَذلِيل	degradation,surmounting	attr	0.0658
تَشيِيع	escorting,burial	attr	0.0658
تَضَافُر	coordination,coalition	attr	0.0658
تَقَصِّي	investigation,examination	attr	0.0658
تَلقِيم	feeding,supplying,loading,uploading	attr	0.0658
تَلمِيع	polishing	attr	0.0658
تَنقِيَة	purification,cleansing	attr	0.0658
تَوَاضُع	modesty,humility,lowliness	attr	0.0658
تَوطِيد	reinforcing,stabilizing,consolidation	attr	0.0658
حَثّ	encouraging,urging,inciting	attr	0.0658
حُمَّى	fever,heat	attr	0.0658
حَيثِيَّة	viewpoint,opinion,circumstances	attr	0.0658
خَادِم	servant,attendant	attr	0.0658
دَفتَر	notebook,ledger,register	attr	0.0658
رُخص	cheapness,inexpensiveness	attr	0.0658
رَدَّة	reverberation,echo	attr	0.0658
سِحر	sorcery,magic,fascination	attr	0.0658
سَعد	Saad	attr	0.0658
سَوَاد	blackness	attr	0.0658
شَفط	siphoning_out,vacuuming	attr	0.0658
صِمَام	plug,valve,stopper	attr	0.0658
طَائِلَة	threat	attr	0.0658
عَقَارِب	hands_(_of_a_clock_)	attr	0.0658
غَضّ	turning_aside	attr	0.0658
غَلَاء	high_cost,rising_cost	attr	0.0658
فَيَضَان	flood,deluge	attr	0.0658
قَبِيل	kind,sort	attr	0.0658
قَلَم	pencil,pen	attr	0.0658
كَاهِل	nape,shoulder	attr	0.0658
مُبَادَلَة	exchange	attr	0.0658
مَحضَر	attendance,report,minutes	attr	0.0658
مَحو	eradication,elimination	attr	0.0658
مُخَاطَبَة	conversation,addressing	attr	0.0658
مُدَاهَمَة	raid,storming,search	attr	0.0658
مَرسَم	studio,regulations,protocol	attr	0.0658
مَسقَط	birthplace,hometown	attr	0.0658
مُضَاعَفَة	doubling,compounding	attr	0.0658
